Review,sentiment
great cooler excellent air flow and for this price its so amazing and unbelievablejust love it ,positive
best budget 2 fit cooler nice cooling,positive
the quality is good but the power of air is decent,positive
very bad product its a only a fan,negative
the cooler is really fantastic and provides good air flow highly recommended,positive
very good product,positive
very nice,positive
very bad cooler,negative
very good,positive
beautiful product good material and perfectly working,positive
awesome,positive
good,positive
wonderful product must buy,positive
nice air cooler smart cool breeze producer,positive
awsm,positive
nice product ,positive
great cooler,positive
nice product,positive
good ,positive
very nice product ,positive
good product,positive
nice product with the reasonable price,positive
i like it ,positive
very goodd,positive
good product,positive
good product kawaleti,positive
very good cooler amazing beautiful designs affordable price,positive
using since 3months great experience,positive
very good performance and nice look,positive
product is good having strong thrust of air flow must buy,positive
very good ,positive
bad quality,negative
very nice product,positive
very soundless product and low price other company,positive
nice,positive
the best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698,positive
cooler is big and wide maharaja brand trust y every thing is good about cooler create less noise only thing is that its motor is not powerful even in high speed rest all things are good but yes for one middle size room it is ok,positive
it is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will i hope create a space problem during off seasons the air supply is very good and its one of the essential part of the air cooler with the wool wood pads which helps to make super cooling afterall thank you maharaja company to make such a product in affordable and reasonable price,positive
awesome air cooleri was looking for a cooler under this range and this has fulfilled my requirement this has the following features1 great air through the capacity of 5000 m3hr 2 comes with a large 65litre tank which can run overnight with ease3 great built that is a shockproof and reliable material4 you have to stop this beast at night because it has that massive cooling capabilityone small concern is mine and it is for sure that it is not a dealbreaker that it produces s,positive
purchased after a lot of discussions and reviews i would say this the best which gives you the comfort needed best to for with no 2nd thoughts nice cooling low noise hope this should be energy efficient and used for a long run,positive
very nice cooler cooling is very good there is no noise i reviewed a lot then only i purchased it if you want effective cooling you have to set it up at a window where there is cross ventilation without cross ventilation it will make environment humid lookwise it is very nice and material is strong,positive
feedback given after using one week the cooler is amazing its making the whole room cooling you should install the cooler near to your windows the delivery was on time as well the delivery boy also very supportive,positive
great deal 65 l quite big tank sufficient cooling for one medium size room 3 modes works well best in this range,positive
i bought this cooler on heavy discount by flipkart cooler is build of good quality material it has a fast fan with powerfull motor pump air quality is excellent even for a big room a must buy value for money product,positive
